Experiment name: example_CNN_1

DSE of CIFAR-10 dataset:

	conv_depth:	[1 2 3]
	fc_depth:	[0 1]
	fc_layers:	[ 32  64 128 256]
	fc_layers_local:	['fc_depth']
	conv_filters:	[16 32 64]
	conv_filters_local:	['conv_depth']
	conv_activation:	['ReLU']
	fc_activation:	['ReLU']
	out_activation:	['softmax']
	conv_pooltype:	['max2d']
	conv_pools:	[1, 2]
	conv_pools_local:	['conv_depth']
	conv_kernels:	[3, 5, 7]
	conv_kernels_local:	['conv_depth']
	conv_strides:	[1, 2, 3]
	conv_strides_local:	['conv_depth']
	learning_rate:	[ 0.001       0.00146002  0.00213166  0.00311227  0.00454399  0.00663432
  0.00968625  0.01414214  0.02064782  0.03014627  0.0440142   0.06426169
  0.09382346  0.13698427  0.2       ]
	epochs:	[100]
	batchsize:	[300]
	updates:	['ADAM']
	loss:	['categorical_crossentropy']

64: fc_layers: [], conv_filters: [16, 32, 16], conv_pools: [2, 2, 1], conv_kernels: [3, 3, 3], conv_strides: [3, 2, 1], learning_rate: 0.20000000298023224, Error: 0.492058824967, Cost: 655.079, Duration: 470s, Completed: Wed Dec  6 08:13:05 2017
65: fc_layers: [], conv_filters: [64, 64, 16], conv_pools: [2, 1, 1], conv_kernels: [7, 3, 5], conv_strides: [2, 1, 3], learning_rate: 0.002131663030013442, Error: 0.330882361707, Cost: 4413.42, Duration: 673s, Completed: Wed Dec  6 08:24:39 2017
66: fc_layers: [], conv_filters: [64, 64, 32], conv_pools: [2, 1, 2], conv_kernels: [7, 3, 3], conv_strides: [1, 2, 2], learning_rate: 0.002131663030013442, Error: 0.341764718294, Cost: 4003.79, Duration: 1185s, Completed: Wed Dec  6 08:44:42 2017
67: fc_layers: [], conv_filters: [16, 64, 16], conv_pools: [2, 1, 2], conv_kernels: [5, 3, 3], conv_strides: [1, 1, 2], learning_rate: 0.002131663030013442, Error: 0.352451001897, Cost: 4457.23, Duration: 891s, Completed: Wed Dec  6 08:59:52 2017
68: fc_layers: [], conv_filters: [32, 16, 16], conv_pools: [2, 2, 1], conv_kernels: [3, 3, 7], conv_strides: [1, 1, 2], learning_rate: 0.0014600215945392847, Error: 0.360294136931, Cost: 4497.66, Duration: 761s, Completed: Wed Dec  6 09:12:51 2017
69: fc_layers: [], conv_filters: [16, 16], conv_pools: [2, 2], conv_kernels: [3, 3], conv_strides: [2, 3], learning_rate: 0.01414213515818119, Error: 0.52705882928, Cost: 391.25, Duration: 424s, Completed: Wed Dec  6 09:20:15 2017
70: fc_layers: [], conv_filters: [32, 32, 16], conv_pools: [2, 2, 1], conv_kernels: [5, 3, 5], conv_strides: [1, 1, 3], learning_rate: 0.0045439875684678555, Error: 0.364117667956, Cost: 3749.01, Duration: 829s, Completed: Wed Dec  6 09:34:21 2017
71: fc_layers: [], conv_filters: [16, 64, 16], conv_pools: [2, 2, 1], conv_kernels: [5, 3, 3], conv_strides: [1, 2, 1], learning_rate: 0.0010000000474974513, Error: 0.356078444158, Cost: 4059.1, Duration: 668s, Completed: Wed Dec  6 09:45:45 2017
72: fc_layers: [], conv_filters: [16, 64, 16], conv_pools: [2, 2, 1], conv_kernels: [7, 5, 3], conv_strides: [1, 1, 3], learning_rate: 0.002131663030013442, Error: 0.392254910048, Cost: 4431.77, Duration: 882s, Completed: Wed Dec  6 10:00:45 2017
73: fc_layers: [], conv_filters: [16, 32, 32], conv_pools: [2, 1, 1], conv_kernels: [7, 3, 3], conv_strides: [3, 3, 2], learning_rate: 0.009686251170933247, Error: 0.374901973149, Cost: 1035.59, Duration: 477s, Completed: Wed Dec  6 10:09:01 2017
74: fc_layers: [], conv_filters: [16, 16, 32], conv_pools: [2, 1, 2], conv_kernels: [5, 7, 5], conv_strides: [1, 3, 2], learning_rate: 0.030146269127726555, Error: 0.368529435466, Cost: 2363.4, Duration: 656s, Completed: Wed Dec  6 10:20:13 2017
75: fc_layers: [], conv_filters: [64, 64], conv_pools: [2, 1], conv_kernels: [7, 5], conv_strides: [3, 3], learning_rate: 0.006634320132434368, Error: 0.3733333507, Cost: 4499.58, Duration: 515s, Completed: Wed Dec  6 10:29:06 2017
76: fc_layers: [], conv_filters: [32, 16, 16], conv_pools: [2, 1, 2], conv_kernels: [3, 3, 3], conv_strides: [3, 2, 2], learning_rate: 0.01414213515818119, Error: 0.403725506628, Cost: 666.484, Duration: 472s, Completed: Wed Dec  6 10:37:13 2017
